instrument: visibility lidar-1030nm
measurement time: 2026-05-03 00:00:30

Height(m); 消光系数(km-1); 能见度(km)
7.5; -9999.00000; -9999.00
22.5; -9999.00000; -9999.00
37.5; -9999.00000; -9999.00
52.5; -9999.00000; -9999.00
67.5; -9999.00000; -9999.00
82.5; -9999.00000; -9999.00
97.5; -9999.00000; -9999.00
112.5; -9999.00000; -9999.00
127.5; -9999.00000; -9999.00
142.5; -9999.00000; -9999.00
157.5; -9999.00000; -9999.00
172.5; -9999.00000; -9999.00
187.5; -9999.00000; -9999.00
202.5; -9999.00000; -9999.00
217.5; -9999.00000; -9999.00
232.5; -9999.00000; -9999.00
247.5; -9999.00000; -9999.00
262.5; -9999.00000; -9999.00
277.5; -9999.00000; -9999.00
292.5; -9999.00000; -9999.00
307.5; -9999.00000; -9999.00
322.5; -9999.00000; -9999.00
337.5; -9999.00000; -9999.00
352.5; -9999.00000; -9999.00
367.5; -9999.00000; -9999.00
382.5; -9999.00000; -9999.00
397.5; -9999.00000; -9999.00
412.5; -9999.00000; -9999.00
427.5; -9999.00000; -9999.00
442.5; -9999.00000; -9999.00
457.5; -9999.00000; -9999.00
472.5; -9999.00000; -9999.00
487.5; -9999.00000; -9999.00
502.5; -9999.00000; -9999.00
517.5; 1.21423; 2.47
532.5; 1.17183; 2.56
547.5; 1.19687; 2.50
562.5; 1.22208; 2.45
577.5; 1.19373; 2.51
592.5; 1.16669; 2.57
607.5; 1.15764; 2.59
622.5; 1.18847; 2.52
637.5; 1.12551; 2.66
652.5; 1.08972; 2.75
667.5; 1.08944; 2.75
682.5; 1.10081; 2.72
697.5; 1.13165; 2.65
712.5; 1.16936; 2.56
727.5; 1.12436; 2.66
742.5; 1.03751; 2.89
757.5; 0.99022; 3.03
772.5; 0.96813; 3.09
787.5; 0.95468; 3.14
802.5; 0.92641; 3.23
817.5; 0.91528; 3.27
832.5; 0.91749; 3.27
847.5; 0.90170; 3.32
862.5; 0.92323; 3.24
877.5; 0.93812; 3.19
892.5; 0.96752; 3.10
907.5; 1.00409; 2.98
922.5; 1.03858; 2.88
937.5; 1.04322; 2.87
952.5; 1.01072; 2.96
967.5; 0.97277; 3.08
982.5; 0.97713; 3.07
997.5; 1.00723; 2.97
1012.5; 1.01301; 2.96
1027.5; 1.00680; 2.98
1042.5; 1.00268; 2.99
1057.5; 0.97404; 3.08
1072.5; 0.91854; 3.26
1087.5; 0.91732; 3.27
1102.5; 0.92917; 3.22
1117.5; 0.95315; 3.14
1132.5; 0.95124; 3.15
1147.5; 0.95118; 3.15
1162.5; 0.93577; 3.20
1177.5; 0.93011; 3.22
1192.5; 0.93298; 3.21
1207.5; 0.94677; 3.16
1222.5; 0.96000; 3.12
1237.5; 0.96753; 3.10
1252.5; 0.97087; 3.09
1267.5; 0.99643; 3.01
1282.5; 1.01723; 2.94
1297.5; 1.02677; 2.92
1312.5; 1.01927; 2.94
1327.5; 0.98352; 3.05
1342.5; 0.97503; 3.07
1357.5; 0.96411; 3.11
1372.5; 0.96091; 3.12
1387.5; 0.97690; 3.07
1402.5; 1.02006; 2.94
1417.5; 1.02961; 2.91
1432.5; 1.05350; 2.84
1447.5; 1.07834; 2.78
1462.5; 1.10298; 2.72
1477.5; 1.10270; 2.72
1492.5; 1.10638; 2.71
1507.5; 1.10527; 2.71
1522.5; 1.12504; 2.66
1537.5; 1.13088; 2.65
1552.5; 1.12531; 2.66
1567.5; 1.09611; 2.73
1582.5; 1.07741; 2.78
1597.5; 1.06897; 2.80
1612.5; 1.08793; 2.75
1627.5; 1.13998; 2.63
1642.5; 1.16319; 2.58
1657.5; 1.15459; 2.59
1672.5; 1.16896; 2.56
1687.5; 1.17976; 2.54
1702.5; 1.23175; 2.43
1717.5; 1.24699; 2.40
1732.5; 1.27940; 2.34
1747.5; 1.33360; 2.25
1762.5; 1.37041; 2.19
1777.5; 1.38602; 2.16
1792.5; 1.35276; 2.21
1807.5; 1.35069; 2.22
1822.5; 1.34671; 2.22
1837.5; 1.32839; 2.26
1852.5; 1.32484; 2.26
1867.5; 1.30138; 2.30
1882.5; 1.28018; 2.34
1897.5; 1.28111; 2.34
1912.5; 1.28254; 2.34
1927.5; 1.30289; 2.30
1942.5; 1.32507; 2.26
1957.5; 1.35383; 2.21
1972.5; 1.39300; 2.15
1987.5; 1.43701; 2.08
2002.5; 1.44259; 2.08
2017.5; 1.45990; 2.05
2032.5; 1.44895; 2.07
2047.5; 1.43143; 2.09
2062.5; 1.40846; 2.13
2077.5; 1.42450; 2.10
2092.5; 1.43332; 2.09
2107.5; 1.45060; 2.07
2122.5; 1.47004; 2.04
2137.5; 1.45475; 2.06
2152.5; 1.50014; 2.00
2167.5; 1.49936; 2.00
2182.5; 1.60110; 1.87
2197.5; 1.68632; 1.78
2212.5; 1.70438; 1.76
2227.5; 1.71132; 1.75
2242.5; 1.65742; 1.81
2257.5; 1.60394; 1.87
2272.5; 1.62426; 1.84
2287.5; 1.59125; 1.88
